"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2025","44,713.52","44,819.55","44,962.58","44,579.10","695.19M","-0.31%"
"01/28/2025","44,850.35","44,756.36","44,976.35","44,621.96","915.11M","0.31%"
"01/27/2025","44,713.58","44,148.84","44,727.85","44,026.27","1.23B","0.65%"
"01/24/2025","44,424.25","44,533.75","44,545.52","44,332.22","532.23M","-0.32%"
"01/23/2025","44,565.07","44,113.55","44,565.26","44,113.55","444.18M","0.92%"
"01/22/2025","44,156.73","44,178.06","44,208.34","44,042.11","588.44M","0.30%"
"01/21/2025","44,025.81","43,528.65","44,050.13","43,528.65","592.22M","1.24%"
"01/17/2025","43,487.83","43,312.55","43,653.25","43,312.55","558.95M","0.78%"
"01/16/2025","43,153.13","43,290.25","43,294.81","43,081.75","504.27M","-0.16%"
"01/15/2025","43,221.55","42,927.76","43,323.49","42,927.76","479.12M","1.65%"
"01/14/2025","42,518.28","42,366.42","42,544.57","42,157.03","454.66M","0.52%"
"01/13/2025","42,297.12","41,924.68","42,319.60","41,844.89","500.20M","0.86%"
"01/10/2025","41,938.45","42,540.29","42,540.29","41,877.30","543.82M","-1.63%"
"01/08/2025","42,635.20","42,542.10","42,656.22","42,327.79","463.43M","0.25%"
"01/07/2025","42,528.36","42,809.71","42,931.54","42,380.75","621.64M","-0.42%"
"01/06/2025","42,706.56","42,835.52","43,115.31","42,611.16","557.04M","-0.06%"
"01/03/2025","42,732.13","42,495.76","42,782.76","42,436.92","455.82M","0.80%"
"01/02/2025","42,392.27","42,660.09","42,905.09","42,174.80","459.86M","-0.36%"
"12/31/2024","42,544.22","42,636.70","42,779.69","42,421.29","359.22M","-0.07%"
"12/30/2024","42,573.73","42,863.86","42,863.86","42,263.51","383.30M","-0.97%"
"12/27/2024","42,992.21","43,142.37","43,238.85","42,761.56","376.96M","-0.77%"
"12/26/2024","43,325.80","43,201.85","43,373.98","43,115.09","270.36M","0.07%"
"12/25/2024","43,297.03","42,916.48","43,297.65","42,871.76","","0.00%"
"12/24/2024","43,297.03","42,916.48","43,297.65","42,871.76","230.41M","0.91%"
"12/23/2024","42,906.95","42,800.49","42,957.79","42,516.87","449.40M","0.16%"
"12/20/2024","42,840.26","42,296.26","43,216.03","42,146.33","1.12B","1.18%"
"12/19/2024","42,342.24","42,464.13","42,787.85","42,334.13","560.21M","0.04%"
"12/18/2024","42,326.87","43,459.72","43,688.97","42,300.04","627.57M","-2.58%"
"12/17/2024","43,449.90","43,656.47","43,656.47","43,336.22","593.67M","-0.61%"
"12/16/2024","43,717.48","43,825.76","43,951.58","43,686.85","579.36M","-0.25%"
"12/13/2024","43,828.06","43,929.15","44,054.23","43,790.48","455.38M","-0.20%"
"12/12/2024","43,914.12","44,168.66","44,208.60","43,903.27","396.06M","-0.53%"
"12/11/2024","44,148.56","44,300.41","44,376.18","44,135.74","512.66M","-0.22%"
"12/10/2024","44,247.83","44,291.57","44,470.84","44,186.66","482.66M","-0.35%"
"12/09/2024","44,401.93","44,637.97","44,728.51","44,382.83","503.92M","-0.54%"
"12/06/2024","44,642.52","44,824.29","44,923.74","44,596.46","466.92M","-0.28%"
"12/05/2024","44,765.71","45,038.44","45,059.94","44,747.14","457.34M","-0.55%"
"12/04/2024","45,014.04","44,941.05","45,073.63","44,799.74","554.43M","0.69%"
"12/03/2024","44,705.53","44,769.58","44,914.68","44,574.78","429.14M","-0.17%"
"12/02/2024","44,782.00","44,925.86","45,001.66","44,710.16","444.99M","-0.29%"
"11/29/2024","44,910.65","44,760.05","45,071.29","44,760.05","319.22M","0.42%"
"11/27/2024","44,722.06","44,837.75","45,003.06","44,690.23","451.36M","-0.31%"
"11/26/2024","44,860.31","44,614.89","44,903.01","44,426.66","476.17M","0.28%"
"11/25/2024","44,736.57","44,385.49","44,815.67","44,385.49","826.66M","0.99%"
"11/22/2024","44,296.51","43,871.63","44,323.95","43,871.63","533.02M","0.97%"
"11/21/2024","43,870.35","43,538.70","44,020.31","43,345.58","712.12M","1.06%"
"11/20/2024","43,408.47","43,296.05","43,465.77","43,074.86","559.01M","0.32%"
"11/19/2024","43,268.94","43,243.27","43,380.97","42,938.87","497.97M","-0.28%"
"11/18/2024","43,389.60","43,431.89","43,505.66","43,297.57","527.18M","-0.13%"
"11/15/2024","43,444.99","43,587.93","43,647.53","43,350.43","664.32M","-0.70%"
"11/14/2024","43,750.86","44,032.38","44,080.78","43,704.82","545.09M","-0.47%"
"11/13/2024","43,958.19","43,880.46","44,141.33","43,829.98","518.84M","0.11%"
"11/12/2024","43,910.98","44,359.21","44,405.73","43,887.27","482.72M","-0.86%"
"11/11/2024","44,293.13","44,057.65","44,486.70","44,057.65","451.95M","0.69%"
"11/08/2024","43,988.99","43,768.53","44,157.29","43,733.86","454.58M","0.59%"
"11/07/2024","43,729.34","43,718.92","43,823.10","43,641.92","437.52M","0.00%"
"11/06/2024","43,729.93","42,850.40","43,778.78","42,850.40","555.81M","3.57%"
"11/05/2024","42,221.88","41,835.49","42,258.84","41,766.96","284.00M","1.02%"
"11/04/2024","41,794.60","42,004.66","42,035.87","41,647.30","341.51M","-0.61%"
"11/01/2024","42,052.19","41,869.82","42,326.31","41,869.82","531.36M","0.69%"
"10/31/2024","41,763.46","41,956.34","41,991.91","41,704.63","523.87M","-0.90%"
"10/30/2024","42,141.54","42,249.81","42,457.92","42,141.54","377.43M","-0.22%"
"10/29/2024","42,233.05","42,323.48","42,491.86","42,171.65","373.55M","-0.36%"
"10/28/2024","42,387.57","42,264.54","42,476.46","42,264.54","284.78M","0.65%"
"10/25/2024","42,114.40","42,477.51","42,594.64","42,051.39","314.00M","-0.61%"
"10/24/2024","42,374.36","42,522.55","42,522.55","42,191.83","282.68M","-0.33%"
"10/23/2024","42,514.95","42,834.40","42,834.40","42,293.17","356.62M","-0.96%"
"10/22/2024","42,924.89","42,876.84","43,041.05","42,718.26","335.20M","-0.02%"
"10/21/2024","42,931.60","43,222.21","43,310.87","42,877.57","273.60M","-0.80%"
"10/18/2024","43,275.91","43,187.12","43,325.09","43,036.35","295.51M","0.09%"
"10/17/2024","43,239.05","43,119.81","43,289.76","43,119.81","276.01M","0.37%"
"10/16/2024","43,077.70","42,706.49","43,100.84","42,692.37","297.51M","0.79%"
"10/15/2024","42,740.42","43,240.17","43,277.78","42,703.17","360.88M","-0.75%"
"10/14/2024","43,065.22","42,800.89","43,139.00","42,707.14","240.06M","0.47%"
"10/11/2024","42,863.86","42,507.53","42,899.75","42,507.53","265.34M","0.97%"
"10/10/2024","42,454.12","42,511.37","42,511.37","42,308.04","245.58M","-0.14%"
"10/09/2024","42,512.00","42,070.32","42,562.01","41,993.35","267.41M","1.03%"
"10/08/2024","42,080.37","42,022.65","42,128.56","41,874.72","286.52M","0.30%"
"10/07/2024","41,954.24","42,289.51","42,293.64","41,831.74","307.24M","-0.94%"
"10/04/2024","42,352.75","42,248.26","42,361.38","41,972.11","296.55M","0.81%"
"10/03/2024","42,011.59","42,099.53","42,125.84","41,847.81","267.27M","-0.44%"
"10/02/2024","42,196.52","42,125.14","42,259.52","41,968.79","301.77M","0.09%"
"10/01/2024","42,156.97","42,262.97","42,322.36","41,945.63","380.24M","-0.41%"
"09/30/2024","42,330.15","42,289.75","42,347.66","41,929.07","354.43M","0.04%"
"09/27/2024","42,313.00","42,227.95","42,628.32","42,227.95","329.85M","0.33%"
"09/26/2024","42,175.11","42,113.42","42,224.15","42,036.28","361.21M","0.62%"
"09/25/2024","41,914.75","42,236.09","42,299.64","41,859.73","385.16M","-0.70%"
"09/24/2024","42,208.22","42,234.99","42,281.06","42,056.82","401.02M","0.20%"
"09/23/2024","42,124.65","42,060.40","42,190.05","42,012.22","455.20M","0.15%"
"09/20/2024","42,063.36","41,959.43","42,138.41","41,865.95","1.22B","0.09%"
"09/19/2024","42,025.19","41,972.56","42,160.91","41,832.09","436.23M","1.26%"
"09/18/2024","41,503.10","41,628.91","41,981.97","41,449.00","383.60M","-0.25%"
"09/17/2024","41,606.18","41,723.78","41,835.28","41,470.69","448.62M","-0.04%"
"09/16/2024","41,622.08","41,435.17","41,733.97","41,435.17","408.68M","0.55%"
"09/13/2024","41,393.78","41,153.70","41,533.84","41,128.70","276.81M","0.72%"
"09/12/2024","41,096.77","40,862.11","41,107.35","40,665.53","289.30M","0.58%"
"09/11/2024","40,861.71","40,638.76","40,903.68","39,993.07","356.05M","0.31%"
"09/10/2024","40,736.96","40,916.50","40,916.50","40,417.48","360.96M","-0.23%"
"09/09/2024","40,829.59","40,555.11","41,000.24","40,518.06","376.72M","1.20%"
"09/06/2024","40,345.41","40,756.81","41,009.39","40,297.33","370.44M","-1.01%"
"09/05/2024","40,755.75","41,056.33","41,084.78","40,519.08","331.26M","-0.54%"
"09/04/2024","40,974.97","40,872.06","41,172.59","40,840.89","359.39M","0.09%"
"09/03/2024","40,936.93","41,489.67","41,489.67","40,778.09","420.53M","-1.51%"
"08/30/2024","41,563.08","41,366.16","41,585.21","41,145.85","494.90M","0.55%"
"08/29/2024","41,335.05","41,345.50","41,577.97","41,086.81","309.83M","0.59%"
"08/28/2024","41,091.42","41,250.17","41,351.11","40,842.29","272.18M","-0.39%"
"08/27/2024","41,250.50","41,186.28","41,271.75","41,109.42","256.16M","0.02%"
"08/26/2024","41,240.52","41,200.84","41,420.05","41,140.23","249.31M","0.16%"
"08/23/2024","41,175.08","40,879.12","41,207.92","40,842.96","300.09M","1.14%"
"08/22/2024","40,712.78","40,932.23","41,026.64","40,584.47","310.48M","-0.43%"
